question text,option 1,option 2,option 3,option 4,correct answer,difficulty level,subject,prep level,unit number
Which element is a metalloid?,Sodium (Na),Sulfur (S),Silicon (Si),Argon (Ar),C,Medium,Science,Prep 1,6
What general trend is observed for atomic radius across a period (left to right)?,Increases,Decreases,Stays the same,Increases then decreases,B,Medium,Science,Prep 1,6
What general trend is observed for atomic radius down a group?,Increases,Decreases,Stays the same,Decreases then increases,A,Medium,Science,Prep 1,6
Why does atomic radius decrease across a period?,More electron shells are added.,The increasing number of protons exerts a stronger pull on the electrons in the same outermost shell.,The number of neutrons increases.,Elements become less metallic.,B,Hard,Science,Prep 1,6
Why does atomic radius increase down a group?,The number of protons decreases.,"Each successive element has an additional electron shell, increasing the distance of valence electrons from the nucleus.",The elements become less dense.,The attraction between protons and electrons weakens.,B,Hard,Science,Prep 1,6
What is ionization energy?,The energy released when an atom gains an electron.,The energy required to remove an electron from a gaseous atom.,The energy stored in chemical bonds.,The energy of the nucleus.,B,Hard,Science,Prep 1,6
What is the general trend for first ionization energy across a period?,Increases,Decreases,Stays the same,Decreases then increases,A,Hard,Science,Prep 1,6
What is the general trend for first ionization energy down a group?,Increases,Decreases,Stays the same,Increases then decreases,B,Hard,Science,Prep 1,6
What is electronegativity?,"The measure of an atom""s size.",The energy required to remove an electron.,The ability of an atom in a chemical bond to attract shared electrons.,The reactivity of an element with water.,C,Hard,Science,Prep 1,6
Which element has the highest electronegativity?,Cesium (Cs),Oxygen (O),Fluorine (F),Helium (He),C,Hard,Science,Prep 1,6
What are the three common states of matter?,"Solid, liquid, gas","Hot, cold, warm","Hard, soft, medium","Metal, nonmetal, metalloid",A,Easy,Science,Prep 1,6
Which state of matter has a definite shape and volume?,Liquid,Gas,Solid,Plasma,C,Easy,Science,Prep 1,6
Which state of matter has a definite volume but takes the shape of its container?,Solid,Liquid,Gas,Plasma,B,Easy,Science,Prep 1,6
Which state of matter has neither a definite shape nor a definite volume?,Solid,Liquid,Gas,None of the above,C,Easy,Science,Prep 1,6
What is the process called when a solid changes directly to a gas without becoming a liquid?,Melting,Evaporation,Condensation,Sublimation,D,Easy,Science,Prep 1,6
What is the process called when a liquid changes to a gas?,Melting,Evaporation or vaporization,Condensation,Freezing,B,Easy,Science,Prep 1,6
What is the process called when a gas changes to a liquid?,Melting,Evaporation,Condensation,Freezing,C,Easy,Science,Prep 1,6
What is the process called when a solid changes to a liquid?,Melting or fusion,Evaporation,Condensation,Freezing,A,Easy,Science,Prep 1,6
What is the process called when a liquid changes to a solid?,Melting,Evaporation,Condensation,Freezing or solidification,D,Easy,Science,Prep 1,6
"What is the fourth state of matter, found in stars and lightning?",Liquid crystal,Plasma,Bose-Einstein condensate,Supercritical fluid,B,Medium,Science,Prep 1,6
What happens to the particles of a substance when it changes from a solid to a liquid?,They gain energy and move more freely.,They lose energy and move less.,They disappear.,They change into different particles.,A,Medium,Science,Prep 1,6
What is the kinetic theory of matter?,The theory that all matter is made of atoms.,The theory that matter can be created or destroyed.,The theory that all particles of matter are in constant motion.,The theory that matter has mass and volume.,C,Medium,Science,Prep 1,6
What is density?,The amount of space an object takes up.,The amount of matter in an object.,The mass of an object divided by its volume.,The weight of an object.,C,Medium,Science,Prep 1,6
What is the formula for calculating density?,Density = Mass × Volume,Density = Mass + Volume,Density = Mass ÷ Volume,Density = Volume ÷ Mass,C,Medium,Science,Prep 1,6
What happens to most substances when they are heated?,They contract.,They expand.,Their mass increases.,Their density increases.,B,Medium,Science,Prep 1,6
What is a physical property?,A property that can only be observed when a substance changes into a new substance.,A property that can be observed or measured without changing the substance's composition.,A property that only applies to living things.,A property that determines how a substance reacts with other substances.,B,Hard,Science,Prep 1,6
What is a chemical property?,A property that can be observed or measured without changing the substance's composition.,A property that determines how a substance reacts with other substances or changes into a new substance.,A property that only applies to elements.,A property that describes the appearance of a substance.,B,Hard,Science,Prep 1,6
Which of the following is a physical property?,Flammability,Reactivity with acid,Melting point,Ability to rust,C,Hard,Science,Prep 1,6
Which of the following is a chemical property?,Boiling point,Density,Color,Flammability,D,Hard,Science,Prep 1,6
What is a physical change?,A change where a new substance with different properties is formed.,A change in the appearance or form of a substance without changing its chemical composition.,A change that can never be reversed.,A change that only occurs in living organisms.,B,Hard,Science,Prep 1,6
What is a chemical bond?,A type of glue used in chemistry labs.,A force that holds atoms together in a molecule or compound.,The attraction between opposite charges.,The repulsion between like charges.,B,Easy,Science,Prep 1,6
What is the main reason atoms form chemical bonds?,To increase their mass.,To become more reactive.,"To achieve a more stable electron configuration, often by filling their outer electron shell.",To change their atomic number.,C,Easy,Science,Prep 1,6
What type of bond forms when electrons are transferred from one atom to another?,Covalent bond,Ionic bond,Hydrogen bond,Metallic bond,B,Easy,Science,Prep 1,6
What type of bond forms when electrons are shared between atoms?,Covalent bond,Ionic bond,Hydrogen bond,Metallic bond,A,Easy,Science,Prep 1,6
What type of bond typically forms between a metal and a nonmetal?,Covalent bond,Ionic bond,Hydrogen bond,Metallic bond,B,Easy,Science,Prep 1,6
What type of bond typically forms between two nonmetals?,Covalent bond,Ionic bond,Hydrogen bond,Metallic bond,A,Easy,Science,Prep 1,6
What type of bond exists between metal atoms in a piece of metal?,Covalent bond,Ionic bond,Hydrogen bond,Metallic bond,D,Easy,Science,Prep 1,6
"In an ionic bond, what happens to the atoms involved?",They share electrons equally.,"One atom gives up electrons to another atom, forming positive and negative ions that attract each other.",They share electrons unequally.,They form a sea of electrons.,B,Medium,Science,Prep 1,6
"In a covalent bond, what happens to the atoms involved?",They transfer electrons from one atom to another.,They form positive and negative ions.,They share one or more pairs of electrons.,They form a sea of electrons.,C,Medium,Science,Prep 1,6
What is a polar covalent bond?,A bond where electrons are shared equally between atoms.,"A bond where electrons are shared unequally, creating partial positive and negative charges.",A bond between atoms at the Earth's poles.,A bond that only forms at low temperatures.,B,Medium,Science,Prep 1,6
What is a nonpolar covalent bond?,A bond where electrons are shared equally between atoms.,A bond where electrons are shared unequally.,A bond between atoms at the Earth's equator.,A bond that only forms at high temperatures.,A,Medium,Science,Prep 1,6
What determines whether a covalent bond will be polar or nonpolar?,The size of the atoms involved.,The difference in electronegativity between the atoms.,The number of electrons shared.,The temperature at which the bond forms.,B,Medium,Science,Prep 1,6
What is a hydrogen bond?,A covalent bond involving a hydrogen atom.,An ionic bond involving a hydrogen atom.,A relatively weak attraction between a hydrogen atom with a partial positive charge and an electronegative atom with a partial negative charge.,A bond that only forms in water.,C,Medium,Science,Prep 1,6
Why are hydrogen bonds important in water?,They make water taste better.,They give water its color.,"They are responsible for many of water's unique properties, such as high surface tension, high boiling point, and ice floating on liquid water.",They make water more reactive.,C,Medium,Science,Prep 1,6
What is the octet rule?,Atoms always have 8 protons.,"Atoms tend to gain, lose, or share electrons to achieve a full outer shell of 8 electrons (or 2 for hydrogen).",Chemical reactions always involve 8 atoms.,Elements in group 8 are the most stable.,B,Hard,Science,Prep 1,6
What is a coordinate covalent bond (or dative bond)?,A bond where both shared electrons come from the same atom.,A bond where electrons are shared equally.,A bond between three or more atoms.,A bond that forms and breaks rapidly.,A,Hard,Science,Prep 1,6
What is the VSEPR theory used for?,To determine the type of bond between atoms.,To predict the three-dimensional shape of molecules based on electron pair repulsion.,To calculate the strength of a bond.,To determine the number of electrons in an atom.,B,Hard,Science,Prep 1,6
"What is the shape of a molecule with four electron pairs around the central atom, with all pairs bonding (like CH₄)?",Linear,Trigonal planar,Tetrahedral,Octahedral,C,Hard,Science,Prep 1,6
"What is the shape of a molecule with three electron pairs around the central atom, with all pairs bonding (like BF₃)?",Linear,Trigonal planar,Tetrahedral,Bent,B,Hard,Science,Prep 1,6
"What is the shape of a molecule with two electron pairs around the central atom, with both pairs bonding (like BeF₂)?",Linear,Trigonal planar,Tetrahedral,Bent,A,Hard,Science,Prep 1,6
What is a force?,A type of energy.,"A push or pull that can cause an object to move, stop, or change direction.",The speed of an object.,The mass of an object.,B,Easy,Science,Prep 1,6
What are the three fundamental forces discussed in this unit?,"Gravity, friction, and tension","Electric, magnetic, and gravitational forces","Pushing, pulling, and lifting","Strong, weak, and electromagnetic forces",B,Easy,Science,Prep 1,6
What causes electric force?,Mass,Electric charge,Magnets,Gravity,B,Easy,Science,Prep 1,6
What are the two types of electric charge?,North and South,East and West,Positive and Negative,Strong and Weak,C,Easy,Science,Prep 1,6
How do like charges interact?,They attract each other.,They repel each other.,They have no effect on each other.,They cancel each other out.,B,Easy,Science,Prep 1,6
How do opposite charges interact?,They attract each other.,They repel each other.,They have no effect on each other.,They multiply each other.,A,Easy,Science,Prep 1,6
